Index,Word,Part of Speech,Meaning Definition,Antonym,Examples,Related Words Notes
46 # 47,CONVICTION,NOUN # NOUN,Belief: creed: opinion: principle. Certitude: confidence # Definition: a formal declaration by the verdict of a jury or the decision of a judge in a court of law that someone is guilty of a criminal offence.,,"a woman of strong political convictions<br>The Dotens have a deep conviction that marriage is for life.<br>The students possess the conviction that they can make a difference to their community.<br>He was able to say with conviction that he had changed.<br>'No,' she said, without conviction.<br>It was a reasonable explanation, but his voice lacked conviction.<br>It took her so much effort to speak that what she said carried great conviction (=showed she felt sure of what she said). # Applicants are checked for criminal convictions.<br>This was her third conviction for theft.",
48,COUNTERPART,NOUN,Match: complement: equal: mate: equivalent,,Belgian officials are discussing this with their French counterparts.,
49,CRISIS,NOUN,Critical point: climax: emergency: plight: predicament,,"The country now faces an economic crisis.<br>The Prime Minister was criticized for the way in which he handled the crisis.<br>the current debt crisis a major political crisis<br>I was relieved that we had averted yet another financial crisis.<br>Oil companies were heavily criticized when they made large profits during the oil crisis of the 1970s.<br>The car industry is now in crisis.<br>an emotional crisis<br>In times of crisis, you find out who your real friends are.<br>He seems to be going through a crisis.<br>Both parties experienced an identity crisis (=feeling of uncertainty about their purpose) at the end of the '90s",
72 # 73,ELABORATE,ADJECTIVE # VERB,detailed: precise: thorough: complete # expand: amplify,,The city is equipped with a very elaborate telecommunications network.<br>She had an elaborate lecture on the topic. # McDonald refused to elaborate on his reasons for resigning.<br>Would you please elaborate on that topic?,Noun: elaboration (He will some further elaboration on the topic).
64,ENHANCE,VERB,boost: improve: heighten: elevate,,The publicity has enhanced his reputation. (Verb)<br>Rich vocabulary will enhance your reading skill.(Verb),Adjective: enhancing (Performance-enhancing drugs are strictly forbidden). Noun: enhancement (Music is an enhancement to her brilliant performance). Adjective: enhanced (Recent improvements in Internet have led to enhanced access to websites).
62,FORMIDABLE,ADJECTIVE,terrifying: intimidating: fearful: dismaying,,You have to deal with the formidable task of scoring high on TOEFL iBT. (adjective)<br>A formidable challenge in your life was …(adjective),Noun: formidability (The formidability of the issue prevented any further progress).
61,INTRUSIVE,ADJECTIVE,interfering: meddlesome,,The paparazzi can be intrusive at times. (Adjective),Noun: intrusion (I resented this intrusion into/upon/on my personal affairs). Verb: intrude (Governments should not intrude into/on/upon the private lives of their citizens).
27,ONSET,NOUN,"beginning, inception, outbreak, start. Definition: beginning of something, especially something bad",,the onset of winter<br>Consult the doctor if there is a very sudden onset of fever.<br>the abrupt onset of the rainy season in India (= happening very quickly and suddenly)<br>Symptoms may include the rapid onset of nausea and vomiting.<br>The patient had a family history of early onset of Alzheimer's disease.<br>An active and healthy lifestyle can delay the onset of disease in later life.,
67,PREVAILING,ADJECTIVE,prevalent: widespread: customary: popular: usual: predominant,,The prevailing economic conditions are not favorable.(adjective),
66,PROFOUND,ADJECTIVE,intense: extreme: acute,,a profound effect/influence/impact/consequence/ question/ thinker/ change(adjective)<br>Widespread crackdown had a profound effect on people’s dissatisfaction with the government. (adjective),
50,SATURATE,VERB,Saturate: soak: drench. Definition: to make something very wet,soak,Water poured through the hole and saturated the carpet.<br>Most TV channels are saturated with ads.(adjective)<br>His T-shirt was saturated with sweat.(adjective),The adjective form is saturated. The opposite of the definition is dry.
74,SECLUDED,ADJECTIVE,Private: solitary: sheltered: lonely,,Secluded garden/spot/beach etc.<br>He's 80 years old now and lives a very secluded life.,Noun: seclusion (He preferred to stay at home in seclusion).
71,SHORTCOMING,NOUN,imperfection: flaw: weakness: defect: fault,,Peter was painfully aware of his own shortcomings.(Noun)<br>The report suggested that there were severe shortcomings in police tactics. (noun),
55 # 56,SOPHISTICATED,ADJECTIVE # ADJECTIVE,Cultivated: refined: urbane # Complex: complicated: intricate,,He is recognized as a highly sophisticated university professor.(adjective)<br>Tourists have been amazed by the sophistication of this rich cosmopolitan city. (Noun) # Sophisticated cutting-edge tablets,The noun form is sophistication.
57,SUCCESSIVE,ADJECTIVE,Successive: consecutive: in sequence,,Successive classes left him absolutely worn-out. (adjective)<br>Successive governments have tried to deal with this issue. (adjective)<br>She won the championship four times in succession. (Noun),
76,SUPPRESS,VERB,oppress: crush: stifle,,The uprising was ruthlessly suppressed.<br>Harry could scarcely suppress a smile.<br>You should suppress your emotions.<br>The virus suppresses the body's immune system.,Noun: suppression (There was a shocking suppression of the opposition parties).
63,WITHSTAND,VERB,endure: resist: bear: tolerate,,This fabric can withstand steam and high temperatures.<br>The bridge is built to withstand an earthquake of 8.3 magnitude.<br>Exercise helps you enormously withstand stresses and strains more easily.,
38 # 39,abrasive,ADJECTIVE # ADJECTIVE,"Definition: rude or unkind # Definition: having a rough surface, especially one that can be used to clean something or make it smooth",,She was a tough girl with rather an abrasive manner. # Smooth down with a fine abrasive paper.,Related form of Abrasion. # Related form of Abrasion.
9,allusion,NOUN,An indirect reference,,The committee made no allusion to the former President in its report.<br>literary/classical/cultural etc. allusions<br>Eliot's poetry is full of biblical allusions.<br>In his poetry we find many allusions to the human body.,
68 # 69,prevail,VERB # VERB,To be victorious; to triumph # to persuade someone,,Justice will prevail.<br>Your inner strength will enable you to prevail over/against life's obstacles. # She prevailed upon her father to say nothing.,
70,prevalent,ADJECTIVE,widespread,,The prevalent beliefs in superstitions really bothered him. (adjective),
59,succeed,VERB,"To take an office, title, etc., after someone else",,Who will succeed him to the throne?,
58,succession,NOUN,The act of following in order,,"A succession of visitors came to the door.<br>If the prince dies, the succession passes to his son.",
